shipment_id,date,route,region,delivery_type,weight_kg,volume_m3,status
GF0016104,2023-10-02,Dubai-RAK,Northern Emirates,Standard,0.64,0.0577,Completed
GF0012558,2023-07-31,Dubai-RAK,Northern Emirates,Standard,0.5,0.0121,Completed
GF0003361,2023-02-02,Abu Dhabi-Muscat,Oman,Standard,8.49,0.043,Completed
GF0012376,2023-07-25,Dubai-Riyadh,KSA,Standard,11.18,0.0602,Completed
GF0031198,2024-05-01,Sharjah-Fujairah,Northern Emirates,Express,0.69,0.0213,Completed
GF0017054,2023-10-13,Dubai-RAK,Northern Emirates,Standard,6.32,0.0516,Completed
GF0016604,2023-10-09,Dubai-RAK,Northern Emirates,Standard,1.77,0.0618,Completed
GF0008503,2023-04-26,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,1.68,0.01,Completed
GF0031359,2024-05-06,Abu Dhabi-Muscat,Oman,Standard,9.88,0.0131,Completed
GF0028995,2024-03-20,Dubai-Sharjah,Sharjah,Same-Day,1.09,0.01,Completed
GF0032482,2024-05-29,Abu Dhabi-Muscat,Oman,Express,0.5,0.0147,Completed
GF0014953,2023-09-13,Dubai-Abu Dhabi,Abu Dhabi,Express,0.5,0.01,Completed
GF0027330,2024-02-22,Dubai-Abu Dhabi,Abu Dhabi,Express,0.66,0.01,Completed
GF0025913,2024-02-02,Abu Dhabi-Al Ain,Abu Dhabi,Express,7.67,0.0105,Completed
GF0025097,2024-01-24,Sharjah-Fujairah,Northern Emirates,Standard,14.63,0.0173,Completed
GF0013430,2023-08-16,Abu Dhabi-Muscat,Oman,Standard,8.51,0.0656,Completed
GF0006749,2023-03-24,Abu Dhabi-Muscat,Oman,Same-Day,0.66,0.0197,Completed
GF0007824,2023-04-12,Dubai-RAK,Northern Emirates,Express,4.87,0.0407,Completed
GF0030388,2024-04-16,Dubai-RAK,Northern Emirates,Standard,11.03,0.0302,Completed
GF0010928,2023-06-19,Dubai-RAK,Northern Emirates,Same-Day,0.5,0.01,Completed
GF0032894,2024-06-06,Dubai-Sharjah,Sharjah,Same-Day,1.19,0.01,Completed
GF0031360,2024-05-06,Sharjah-Fujairah,Northern Emirates,Express,3.05,0.017,Completed
GF0025882,2024-02-02,Sharjah-Fujairah,Northern Emirates,Standard,3.67,0.0773,Completed
GF0018402,2023-11-02,Abu Dhabi-Muscat,Oman,Standard,11.33,0.0142,Completed
GF0006286,2023-03-17,Dubai-RAK,Northern Emirates,Standard,23.47,0.01,Completed
GF0009540,2023-05-18,Sharjah-Fujairah,Northern Emirates,Standard,6.04,0.01,Completed
GF0010512,2023-06-08,Dubai-Riyadh,KSA,Express,2.24,0.01,Completed
GF0029288,2024-03-25,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.51,0.01,Completed
GF0009904,2023-05-26,Dubai-Riyadh,KSA,Express,1.84,0.0357,Completed
GF0010575,2023-06-09,Dubai-Abu Dhabi,Abu Dhabi,Express,0.5,0.0846,Completed
GF0021406,2023-12-10,Dubai-Sharjah,Sharjah,Standard,11.8,0.0245,Completed
GF0032664,2024-05-31,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.61,0.01,Completed
GF0007528,2023-04-06,Dubai-Sharjah,Sharjah,Standard,3.51,0.0248,Completed
GF0001890,2023-01-12,Dubai-Riyadh,KSA,Same-Day,3.04,0.01,Completed
GF0002023,2023-01-16,Dubai-RAK,Northern Emirates,Standard,29.57,0.1075,Completed
GF0031960,2024-05-17,Dubai-Riyadh,KSA,Standard,4.1,0.048,Completed
GF0020777,2023-12-01,Abu Dhabi-Muscat,Oman,Same-Day,7.33,0.0272,Completed
GF0014845,2023-09-11,Dubai-Riyadh,KSA,Standard,8.95,0.0336,Completed
GF0002888,2023-01-26,Dubai-RAK,Northern Emirates,Standard,6.7,0.0284,Completed
GF0013669,2023-08-21,Abu Dhabi-Al Ain,Abu Dhabi,Standard,5.17,0.01,Completed
GF0025485,2024-01-29,Abu Dhabi-Al Ain,Abu Dhabi,Express,5.83,0.0244,Completed
GF0012925,2023-08-07,Dubai-Sharjah,Sharjah,Standard,10.59,0.0534,Completed
GF0028099,2024-03-06,Abu Dhabi-Al Ain,Abu Dhabi,Express,5.4,0.0128,Completed
GF0006354,2023-03-19,Dubai-Abu Dhabi,Abu Dhabi,Express,8.6,0.0873,Completed
GF0006222,2023-03-16,Sharjah-Fujairah,Northern Emirates,Same-Day,0.5,0.01,Completed
GF0009373,2023-05-15,Dubai-Riyadh,KSA,Standard,20.17,0.0452,Completed
GF0010089,2023-05-30,Abu Dhabi-Muscat,Oman,Standard,9.9,0.0118,Completed
GF0029376,2024-03-26,Dubai-RAK,Northern Emirates,Standard,4.7,0.0285,Completed
GF0016884,2023-10-12,Sharjah-Fujairah,Northern Emirates,Express,1.83,0.01,Completed
GF0024031,2024-01-10,Dubai-Abu Dhabi,Abu Dhabi,Standard,10.4,0.0139,Completed
GF0018975,2023-11-10,Dubai-Riyadh,KSA,Standard,1.58,0.0388,Completed
GF0020075,2023-11-22,Dubai-Sharjah,Sharjah,Standard,3.87,0.0616,Completed
GF0031136,2024-04-30,Sharjah-Fujairah,Northern Emirates,Express,3.16,0.01,Completed
GF0032500,2024-05-29,Dubai-Riyadh,KSA,Express,2.25,0.01,Completed
GF0029445,2024-03-26,Dubai-Sharjah,Sharjah,Same-Day,0.9,0.01,Completed
GF0032480,2024-05-29,Abu Dhabi-Muscat,Oman,Express,2.6,0.0518,Completed
GF0005577,2023-03-07,Abu Dhabi-Muscat,Oman,Standard,28.2,0.0332,Completed
GF0031828,2024-05-15,Sharjah-Fujairah,Northern Emirates,Express,4.35,0.0194,Completed
GF0030620,2024-04-19,Dubai-Sharjah,Sharjah,Standard,6.07,0.0812,Completed
GF0011830,2023-07-12,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.51,0.0406,Completed
GF0027999,2024-03-05,Abu Dhabi-Muscat,Oman,Same-Day,0.5,0.01,Completed
GF0009892,2023-05-25,Dubai-Riyadh,KSA,Standard,3.25,0.0401,Completed
